t	x
259.233333	0
259.250000	0
259.266667	0
259.283333	0
259.300000	0
259.316667	0
259.333333	0
259.350000	0
259.366667	0
259.383333	0
259.400000	0
259.416667	0
259.433333	0
259.450000	0
259.466667	0
259.483333	0
259.500000	0
259.516667	0
259.533333	0
259.550000	0
259.566667	0
259.583333	0
259.600000	0
259.616667	0
259.633333	0
259.650000	0
259.666667	0
259.683333	0
259.700000	0
259.716667	0
259.733333	0
259.750000	0
259.766667	0
259.783333	0
259.800000	0
259.816667	0
259.833333	0
259.850000	0
259.866667	0
259.883333	0
259.900000	0
259.916667	0
259.933333	0
259.950000	0
259.966667	0
259.983333	0
260.000000	0
260.016667	0
260.033333	0
260.050000	0
260.066667	0
260.083333	0
260.100000	0
260.116667	0
260.133333	0
260.150000	0
260.166667	0
260.183333	0
260.200000	0
260.216667	0
260.233333	0.045
260.250000	0.135
260.266667	0.215
260.283333	0.37
260.300000	0.485
260.316667	0.415
260.333333	0.205
260.350000	0.265
260.366667	0.105
260.383333	0.215
260.400000	0.21
260.416667	0.02
260.433333	0
260.450000	0.005
260.466667	0.24
260.483333	0.105
260.500000	0.025
260.516667	0.02
260.533333	0.015
260.550000	0
260.566667	0.015
260.583333	0
260.600000	0.015
260.616667	0.125
260.633333	0.05
260.650000	0.1
260.666667	0.02
260.683333	0.005
260.700000	0.065
260.716667	0.115
260.733333	0.095
260.750000	0.09
260.766667	0.015
260.783333	0
260.800000	0.015
260.816667	0.09
260.833333	0.015
260.850000	0.035
260.866667	0
260.883333	0
260.900000	0
260.916667	0
260.933333	0
260.950000	0
260.966667	0
260.983333	0
261.000000	0
261.016667	0.15
261.033333	0.12
261.050000	0.02
261.066667	0.015
261.083333	0.11
261.100000	0.09
261.116667	0.075
261.133333	0.015
261.150000	0.015
261.166667	0
261.183333	0
261.200000	0
261.216667	0
261.233333	0
261.250000	0
261.266667	0
261.283333	0
261.300000	0
261.316667	0
261.333333	0
261.350000	0
261.366667	0
261.383333	0
261.400000	0
261.416667	0
261.433333	0
261.450000	0
261.466667	0
261.483333	0
261.500000	0
261.516667	0
261.533333	0
261.550000	0
261.566667	0
261.583333	0
261.600000	0
261.616667	0
261.633333	0
261.650000	0
261.666667	0
261.683333	0
261.700000	0
261.716667	0
261.733333	0
261.750000	0
261.766667	0
261.783333	0
261.800000	0
261.816667	0
261.833333	0
261.850000	0
261.866667	0
261.883333	0
261.900000	0
261.916667	0
261.933333	0
261.950000	0
261.966667	0
261.983333	0
262.000000	0
262.016667	0
262.033333	0
262.050000	0
262.066667	0
262.083333	0
262.100000	0
262.116667	0
262.133333	0
262.150000	0
262.166667	0
262.183333	0
262.200000	0
262.216667	0
262.233333	0
262.250000	0
262.266667	0
262.283333	0
262.300000	0
262.316667	0
262.333333	0
262.350000	0
262.366667	0
262.383333	0
262.400000	0
262.416667	0
262.433333	0
262.450000	0
262.466667	0
262.483333	0
262.500000	0
262.516667	0
262.533333	0
262.550000	0
262.566667	0
262.583333	0
262.600000	0
262.616667	0
262.633333	0
262.650000	0
262.666667	0
262.683333	0
262.700000	0
262.716667	0
262.733333	0
262.750000	0
262.766667	0
262.783333	0
262.800000	0
262.816667	0
262.833333	0
262.850000	0.11
262.866667	0.085
262.883333	0.02
262.900000	0.065
262.916667	0.035
262.933333	0.015
262.950000	0.015
262.966667	0.085
262.983333	0.02
263.000000	0.09
263.016667	0.035
263.033333	0.09
263.050000	0.09
263.066667	0.035
263.083333	0.095
263.100000	0.105
263.116667	0.095
263.133333	0.09
263.150000	0.05
263.166667	0.13
263.183333	0.205
263.200000	0.145
263.216667	0
263.233333	0
263.250000	0.06
263.266667	0.16
263.283333	0.09
263.300000	0.065
263.316667	0.015
263.333333	0.05
263.350000	0.02
263.366667	0.01
263.383333	0
263.400000	0
263.416667	0
263.433333	0.03
263.450000	0.05
263.466667	0.015
263.483333	0
263.500000	0.015
263.516667	0
263.533333	0.085
263.550000	0.035
263.566667	0.08
263.583333	0.025
263.600000	0.015
263.616667	0.08
263.633333	0.015
263.650000	0
263.666667	0.065
263.683333	0.02
263.700000	0
263.716667	0.015
263.733333	0
263.750000	0.01
263.766667	0.005
263.783333	0
263.800000	0
263.816667	0
263.833333	0
263.850000	0
263.866667	0
263.883333	0
263.900000	0
263.916667	0
263.933333	0
263.950000	0
263.966667	0
263.983333	0
264.000000	0
264.016667	0
264.033333	0
264.050000	0
264.066667	0
264.083333	0
264.100000	0
264.116667	0
264.133333	0
264.150000	0
264.166667	0
264.183333	0
264.200000	0
264.216667	0
264.233333	0
264.250000	0
264.266667	0
264.283333	0
264.300000	0
264.316667	0
264.333333	0
264.350000	0
264.366667	0
264.383333	0
264.400000	0
264.416667	0
264.433333	0
264.450000	0
264.466667	0
264.483333	0
264.500000	0
264.516667	0
264.533333	0
264.550000	0
264.566667	0
264.583333	0
264.600000	0
264.616667	0
264.633333	0
264.650000	0
264.666667	0
264.683333	0
264.700000	0
264.716667	0
