t	x
1153.800000	0
1153.816667	0
1153.833333	0
1153.850000	0
1153.866667	0
1153.883333	0
1153.900000	0
1153.916667	0
1153.933333	0
1153.950000	0
1153.966667	0
1153.983333	0
1154.000000	0
1154.016667	0
1154.033333	0
1154.050000	0
1154.066667	0
1154.083333	0
1154.100000	0
1154.116667	0
1154.133333	0
1154.150000	0
1154.166667	0
1154.183333	0
1154.200000	0
1154.216667	0
1154.233333	0
1154.250000	0
1154.266667	0
1154.283333	0
1154.300000	0
1154.316667	0
1154.333333	0
1154.350000	0
1154.366667	0
1154.383333	0
1154.400000	0
1154.416667	0
1154.433333	0
1154.450000	0
1154.466667	0
1154.483333	0
1154.500000	0
1154.516667	0
1154.533333	0
1154.550000	0
1154.566667	0
1154.583333	0
1154.600000	0
1154.616667	0
1154.633333	0
1154.650000	0
1154.666667	0
1154.683333	0
1154.700000	0
1154.716667	0
1154.733333	0
1154.750000	0
1154.766667	0
1154.783333	0
1154.800000	0
1154.816667	0
1154.833333	0
1154.850000	0
1154.866667	0
1154.883333	0
1154.900000	0.025
1154.916667	0
1154.933333	0
1154.950000	0.06
1154.966667	0.045
1154.983333	0.03
1155.000000	0.04
1155.016667	0.085
1155.033333	0.08
1155.050000	0.1
1155.066667	0.135
1155.083333	0.19
1155.100000	0.2
1155.116667	0.23
1155.133333	0.135
1155.150000	0.05
1155.166667	0.1
1155.183333	0.07
1155.200000	0.06
1155.216667	0.095
1155.233333	0.09
1155.250000	0.15
1155.266667	0.085
1155.283333	0.09
1155.300000	0.035
1155.316667	0.11
1155.333333	0.075
1155.350000	0.065
1155.366667	0.08
1155.383333	0.03
1155.400000	0.08
1155.416667	0.025
1155.433333	0.065
1155.450000	0
1155.466667	0.035
1155.483333	0.05
1155.500000	0.02
1155.516667	0.015
1155.533333	0.015
1155.550000	0.01
1155.566667	0.065
1155.583333	0.015
1155.600000	0.025
1155.616667	0.06
1155.633333	0.015
1155.650000	0
1155.666667	0
1155.683333	0
1155.700000	0
1155.716667	0
1155.733333	0
1155.750000	0
1155.766667	0
1155.783333	0
1155.800000	0
1155.816667	0
1155.833333	0.14
1155.850000	0.25
1155.866667	0.325
1155.883333	0.2
1155.900000	0.175
1155.916667	0.085
1155.933333	0.05
1155.950000	0
