t	x
1155.966667	0.12
1155.983333	0.155
1156.000000	0.285
1156.016667	0.23
1156.033333	0.155
1156.050000	0.05
1156.066667	0.075
1156.083333	0.155
1156.100000	0.065
1156.116667	0.155
1156.133333	0.105
1156.150000	0.09
1156.166667	0.09
1156.183333	0.085
1156.200000	0.085
1156.216667	0.085
1156.233333	0.055
1156.250000	0.015
1156.266667	0.035
1156.283333	0.055
1156.300000	0.13
1156.316667	0.085
1156.333333	0.06
1156.350000	0.015
1156.366667	0.01
1156.383333	0.05
1156.400000	0
1156.416667	0
1156.433333	0
1156.450000	0
1156.466667	0.03
1156.483333	0
1156.500000	0.01
1156.516667	0
1156.533333	0.01
1156.550000	0.015
1156.566667	0.065
1156.583333	0.01
1156.600000	0.015
1156.616667	0.075
1156.633333	0.015
1156.650000	0.075
1156.666667	0.015
1156.683333	0.01
1156.700000	0.015
1156.716667	0
1156.733333	0.06
1156.750000	0.015
1156.766667	0
1156.783333	0.01
1156.800000	0
1156.816667	0.01
1156.833333	0.05
1156.850000	0
1156.866667	0.03
1156.883333	0
1156.900000	0.01
1156.916667	0.015
1156.933333	0.01
1156.950000	0.075
1156.966667	0.015
1156.983333	0.065
1157.000000	0.015
1157.016667	0.075
1157.033333	0
1157.050000	0.015
1157.066667	0
1157.083333	0
1157.100000	0.05
1157.116667	0.025
1157.133333	0
1157.150000	0.015
1157.166667	0
1157.183333	0.01
1157.200000	0
1157.216667	0
1157.233333	0.01
1157.250000	0.01
1157.266667	0.065
1157.283333	0.01
1157.300000	0
1157.316667	0
1157.333333	0
1157.350000	0.03
1157.366667	0
1157.383333	0.01
1157.400000	0.05
1157.416667	0
1157.433333	0.01
1157.450000	0.015
1157.466667	0.01
1157.483333	0.05
1157.500000	0.01
1157.516667	0
1157.533333	0
1157.550000	0
1157.566667	0
1157.583333	0
1157.600000	0
1157.616667	0
1157.633333	0
1157.650000	0
1157.666667	0
1157.683333	0
1157.700000	0
1157.716667	0
1157.733333	0
1157.750000	0
1157.766667	0
1157.783333	0
1157.800000	0
1157.816667	0.08
1157.833333	0.01
1157.850000	0.015
1157.866667	0.01
1157.883333	0.065
1157.900000	0.01
1157.916667	0.025
1157.933333	0.015
1157.950000	0.065
1157.966667	0.01
1157.983333	0
1158.000000	0
1158.016667	0
1158.033333	0
1158.050000	0
1158.066667	0
1158.083333	0.08
1158.100000	0
1158.116667	0
1158.133333	0
1158.150000	0
1158.166667	0.01
1158.183333	0
1158.200000	0
1158.216667	0.01
1158.233333	0
1158.250000	0.01
1158.266667	0
1158.283333	0
1158.300000	0
1158.316667	0
1158.333333	0
1158.350000	0
1158.366667	0
1158.383333	0
1158.400000	0
1158.416667	0
1158.433333	0
1158.450000	0
1158.466667	0
1158.483333	0
1158.500000	0
1158.516667	0
1158.533333	0
1158.550000	0
1158.566667	0
1158.583333	0
1158.600000	0
1158.616667	0
1158.633333	0
1158.650000	0
1158.666667	0
1158.683333	0
1158.700000	0
1158.716667	0
1158.733333	0
1158.750000	0
1158.766667	0
1158.783333	0
1158.800000	0
1158.816667	0
1158.833333	0
1158.850000	0
1158.866667	0
1158.883333	0
1158.900000	0
1158.916667	0
1158.933333	0
1158.950000	0
1158.966667	0
1158.983333	0
1159.000000	0
1159.016667	0
1159.033333	0
1159.050000	0
1159.066667	0
1159.083333	0
1159.100000	0
1159.116667	0
1159.133333	0
1159.150000	0.05
1159.166667	0
1159.183333	0
1159.200000	0.03
1159.216667	0
1159.233333	0
1159.250000	0.01
1159.266667	0
1159.283333	0
1159.300000	0.015
1159.316667	0
1159.333333	0
1159.350000	0
1159.366667	0
1159.383333	0
1159.400000	0
1159.416667	0
1159.433333	0
1159.450000	0
1159.466667	0
1159.483333	0
1159.500000	0
1159.516667	0.025
1159.533333	0.06
1159.550000	0.015
1159.566667	0.025
1159.583333	0.065
1159.600000	0.015
1159.616667	0.025
1159.633333	0.075
1159.650000	0.015
1159.666667	0.025
1159.683333	0.065
1159.700000	0.03
1159.716667	0.065
1159.733333	0.025
1159.750000	0.03
1159.766667	0.075
1159.783333	0.015
1159.800000	0.08
1159.816667	0.025
1159.833333	0.015
1159.850000	0.03
1159.866667	0.075
1159.883333	0.05
1159.900000	0.045
1159.916667	0.08
1159.933333	0.025
1159.950000	0.065
1159.966667	0.03
1159.983333	0.08
1160.000000	0.025
1160.016667	0.06
1160.033333	0.025
1160.050000	0
1160.066667	0.065
1160.083333	0
1160.100000	0
1160.116667	0
1160.133333	0
1160.150000	0.025
1160.166667	0.015
1160.183333	0.075
1160.200000	0.03
1160.216667	0.08
1160.233333	0.015
1160.250000	0.075
1160.266667	0.015
1160.283333	0.075
1160.300000	0.025
1160.316667	0.05
1160.333333	0.03
1160.350000	0.06
1160.366667	0.025
1160.383333	0
1160.400000	0.015
1160.416667	0.06
1160.433333	0.015
1160.450000	0.025
1160.466667	0.015
1160.483333	0.075
1160.500000	0.02
1160.516667	0.095
1160.533333	0.065
1160.550000	0.08
1160.566667	0.045
1160.583333	0.065
1160.600000	0.03
1160.616667	0.03
1160.633333	0.065
1160.650000	0.015
1160.666667	0.01
1160.683333	0.065
1160.700000	0
1160.716667	0.025
1160.733333	0
1160.750000	0.06
1160.766667	0.025
1160.783333	0.015
1160.800000	0.01
1160.816667	0.015
1160.833333	0.01
1160.850000	0.065
1160.866667	0.075
1160.883333	0.01
1160.900000	0
1160.916667	0.095
1160.933333	0.01
1160.950000	0.025
1160.966667	0.065
1160.983333	0.08
1161.000000	0.035
1161.016667	0.08
1161.033333	0.025
1161.050000	0.05
1161.066667	0.075
1161.083333	0
1161.100000	0.06
1161.116667	0.055
1161.133333	0.1
1161.150000	0.08
1161.166667	0.03
1161.183333	0.065
1161.200000	0.025
1161.216667	0.065
1161.233333	0.08
1161.250000	0.03
1161.266667	0.065
1161.283333	0.04
1161.300000	0.065
1161.316667	0.01
1161.333333	0.065
1161.350000	0.01
1161.366667	0.025
1161.383333	0.065
1161.400000	0.01
1161.416667	0.015
1161.433333	0.06
1161.450000	0.005
1161.466667	0.09
1161.483333	0.03
1161.500000	0.08
1161.516667	0.03
1161.533333	0.075
1161.550000	0.02
1161.566667	0.025
1161.583333	0.065
1161.600000	0.01
1161.616667	0.075
1161.633333	0
1161.650000	0.045
1161.666667	0.06
1161.683333	0.025
1161.700000	0.015
1161.716667	0.075
1161.733333	0.02
1161.750000	0.025
1161.766667	0.065
1161.783333	0.025
1161.800000	0.065
1161.816667	0
1161.833333	0
1161.850000	0.025
1161.866667	0.065
1161.883333	0.01
1161.900000	0.015
1161.916667	0.02
1161.933333	0.005
1161.950000	0.01
1161.966667	0.065
1161.983333	0.01
1162.000000	0
1162.016667	0.01
1162.033333	0.05
1162.050000	0
1162.066667	0.03
1162.083333	0
1162.100000	0.01
1162.116667	0.06
1162.133333	0.015
1162.150000	0
1162.166667	0.01
1162.183333	0.015
1162.200000	0.025
1162.216667	0.06
1162.233333	0.025
1162.250000	0
1162.266667	0.095
1162.283333	0.03
1162.300000	0.08
1162.316667	0.1
1162.333333	0.085
1162.350000	0.03
1162.366667	0.1
1162.383333	0.095
1162.400000	0.04
1162.416667	0.085
1162.433333	0.065
1162.450000	0.06
1162.466667	0.08
1162.483333	0.085
1162.500000	0.095
1162.516667	0.07
1162.533333	0.175
1162.550000	0.12
1162.566667	0.14
1162.583333	0.13
1162.600000	0.095
1162.616667	0.12
1162.633333	0.165
1162.650000	0.105
1162.666667	0.095
1162.683333	0.115
1162.700000	0.165
1162.716667	0.1
1162.733333	0.1
1162.750000	0.105
1162.766667	0.105
1162.783333	0.06
1162.800000	0.165
1162.816667	0.105
1162.833333	0.105
1162.850000	0.1
1162.866667	0.095
1162.883333	0.1
1162.900000	0.09
1162.916667	0.1
1162.933333	0.085
1162.950000	0.1
1162.966667	0.07
1162.983333	0.12
1163.000000	0.105
1163.016667	0.1
1163.033333	0.11
1163.050000	0.11
1163.066667	0.105
1163.083333	0.11
1163.100000	0.115
1163.116667	0.13
1163.133333	0.16
1163.150000	0.11
1163.166667	0.125
1163.183333	0.18
1163.200000	0.13
1163.216667	0.175
1163.233333	0.125
1163.250000	0.185
1163.266667	0.115
1163.283333	0.175
1163.300000	0.125
1163.316667	0.17
1163.333333	0.12
1163.350000	0.125
1163.366667	0.165
1163.383333	0.125
1163.400000	0.18
1163.416667	0.135
1163.433333	0.175
1163.450000	0.13
1163.466667	0.16
1163.483333	0.165
1163.500000	0.135
1163.516667	0.14
1163.533333	0.18
1163.550000	0.19
1163.566667	0.195
1163.583333	0.19
1163.600000	0.125
1163.616667	0.185
1163.633333	0.185
1163.650000	0.17
1163.666667	0.175
1163.683333	0.19
1163.700000	0.14
1163.716667	0.195
1163.733333	0.19
1163.750000	0.18
1163.766667	0.13
1163.783333	0.195
1163.800000	0.13
1163.816667	0.185
1163.833333	0.175
1163.850000	0.14
1163.866667	0.205
1163.883333	0.14
1163.900000	0.17
1163.916667	0.135
1163.933333	0.195
1163.950000	0.145
1163.966667	0.19
1163.983333	0.135
1164.000000	0.175
1164.016667	0.12
1164.033333	0.175
1164.050000	0.14
1164.066667	0.2
1164.083333	0.195
1164.100000	0.24
1164.116667	0.19
1164.133333	0.19
1164.150000	0.175
1164.166667	0.175
1164.183333	0.125
1164.200000	0.195
1164.216667	0.195
1164.233333	0.14
1164.250000	0.19
1164.266667	0.2
1164.283333	0.155
1164.300000	0.22
1164.316667	0.205
1164.333333	0.185
1164.350000	0.135
1164.366667	0.185
1164.383333	0.135
1164.400000	0.18
1164.416667	0.19
1164.433333	0.14
1164.450000	0.13
1164.466667	0.18
1164.483333	0.125
1164.500000	0.125
1164.516667	0.175
1164.533333	0.12
1164.550000	0.12
1164.566667	0.17
1164.583333	0.12
1164.600000	0.115
1164.616667	0.16
1164.633333	0.12
1164.650000	0.17
1164.666667	0.115
1164.683333	0.16
1164.700000	0.12
1164.716667	0.125
1164.733333	0.12
1164.750000	0.16
1164.766667	0.165
1164.783333	0.09
1164.800000	0.1
1164.816667	0.105
1164.833333	0.045
1164.850000	0.085
1164.866667	0.095
1164.883333	0.035
1164.900000	0.08
1164.916667	0.075
1164.933333	0.02
1164.950000	0.075
1164.966667	0.03
1164.983333	0.085
1165.000000	0.02
1165.016667	0.08
1165.033333	0.03
1165.050000	0.08
1165.066667	0.03
1165.083333	0.08
1165.100000	0.03
1165.116667	0.025
1165.133333	0.08
1165.150000	0.08
1165.166667	0.01
1165.183333	0.075
1165.200000	0.02
1165.216667	0.03
1165.233333	0.065
1165.250000	0.025
1165.266667	0
1165.283333	0.05
1165.300000	0.03
1165.316667	0
1165.333333	0.01
1165.350000	0
1165.366667	0.01
1165.383333	0
1165.400000	0.015
1165.416667	0.01
1165.433333	0.065
1165.450000	0.01
1165.466667	0
1165.483333	0
1165.500000	0
1165.516667	0
1165.533333	0
1165.550000	0
1165.566667	0
1165.583333	0
1165.600000	0
1165.616667	0
1165.633333	0
1165.650000	0
1165.666667	0
1165.683333	0
1165.700000	0
1165.716667	0
1165.733333	0
1165.750000	0
1165.766667	0
1165.783333	0
1165.800000	0
1165.816667	0
1165.833333	0
1165.850000	0
1165.866667	0
1165.883333	0
1165.900000	0
1165.916667	0
1165.933333	0
1165.950000	0
1165.966667	0
1165.983333	0
1166.000000	0
1166.016667	0
1166.033333	0
1166.050000	0
1166.066667	0
1166.083333	0
1166.100000	0
1166.116667	0
1166.133333	0
1166.150000	0
1166.166667	0
1166.183333	0
1166.200000	0
1166.216667	0
1166.233333	0
1166.250000	0
1166.266667	0
1166.283333	0
1166.300000	0
1166.316667	0
1166.333333	0.04
1166.350000	0
1166.366667	0
1166.383333	0.01
1166.400000	0.01
1166.416667	0
1166.433333	0.015
1166.450000	0.06
1166.466667	0.01
1166.483333	0
1166.500000	0
1166.516667	0
1166.533333	0.05
1166.550000	0
1166.566667	0
1166.583333	0
1166.600000	0.03
1166.616667	0
1166.633333	0.01
1166.650000	0.015
1166.666667	0.015
1166.683333	0.025
1166.700000	0.015
1166.716667	0.01
1166.733333	0.05
1166.750000	0.015
1166.766667	0
1166.783333	0
1166.800000	0
1166.816667	0
1166.833333	0
1166.850000	0
1166.866667	0
1166.883333	0.03
1166.900000	0
1166.916667	0
1166.933333	0.01
1166.950000	0
1166.966667	0
1166.983333	0.01
1167.000000	0
1167.016667	0
1167.033333	0.01
1167.050000	0.05
1167.066667	0
1167.083333	0.03
1167.100000	0.015
1167.116667	0.05
1167.133333	0.01
1167.150000	0.01
1167.166667	0.065
1167.183333	0.015
1167.200000	0.01
1167.216667	0.03
1167.233333	0.065
1167.250000	0.025
1167.266667	0.08
1167.283333	0.015
1167.300000	0.01
1167.316667	0.015
1167.333333	0.06
1167.350000	0.01
1167.366667	0.015
1167.383333	0
1167.400000	0.01
1167.416667	0
1167.433333	0
1167.450000	0
1167.466667	0.05
1167.483333	0
1167.500000	0.03
1167.516667	0.01
1167.533333	0.065
1167.550000	0.01
1167.566667	0.015
1167.583333	0.01
1167.600000	0.01
1167.616667	0.05
1167.633333	0.015
1167.650000	0.01
1167.666667	0
1167.683333	0
1167.700000	0
1167.716667	0.08
1167.733333	0
1167.750000	0.015
1167.766667	0.01
1167.783333	0.065
1167.800000	0
1167.816667	0.02
1167.833333	0
1167.850000	0.015
1167.866667	0.06
1167.883333	0.015
1167.900000	0.05
1167.916667	0.025
1167.933333	0.015
1167.950000	0.03
1167.966667	0.065
1167.983333	0.025
1168.000000	0.015
1168.016667	0.085
1168.033333	0.03
1168.050000	0.08
1168.066667	0.095
1168.083333	0.015
1168.100000	0.095
1168.116667	0.065
1168.133333	0.03
1168.150000	0.075
1168.166667	0.03
1168.183333	0.09
1168.200000	0.06
1168.216667	0.105
1168.233333	0.14
1168.250000	0.35
1168.266667	0.31
1168.283333	0.375
1168.300000	0.56
1168.316667	0.17
1168.333333	0.08
1168.350000	0
1168.366667	0
1168.383333	0.265
1168.400000	0.115
1168.416667	0.03
1168.433333	0.035
1168.450000	0.03
1168.466667	0.075
1168.483333	0.115
1168.500000	0
1168.516667	0.045
1168.533333	0.065
1168.550000	0.025
1168.566667	0.07
1168.583333	0.03
1168.600000	0.08
1168.616667	0.015
1168.633333	0.08
1168.650000	0.015
1168.666667	0.075
1168.683333	0.05
1168.700000	0.045
1168.716667	0.08
1168.733333	0.025
1168.750000	0.085
1168.766667	0.03
1168.783333	0.07
1168.800000	0.03
1168.816667	0.03
1168.833333	0.08
1168.850000	0.075
1168.866667	0
1168.883333	0.045
1168.900000	0.06
1168.916667	0.03
1168.933333	0.085
1168.950000	0.03
1168.966667	0.03
1168.983333	0.06
1169.000000	0.03
1169.016667	0.025
1169.033333	0.08
1169.050000	0.005
1169.066667	0.095
1169.083333	0.025
1169.100000	0.08
1169.116667	0.01
1169.133333	0.085
1169.150000	0.03
1169.166667	0.075
1169.183333	0.03
1169.200000	0.06
1169.216667	0.015
1169.233333	0.065
1169.250000	0.03
1169.266667	0.075
1169.283333	0.065
1169.300000	0.015
1169.316667	0.03
1169.333333	0.06
1169.350000	0.025
1169.366667	0.065
1169.383333	0.015
1169.400000	0.01
1169.416667	0.065
1169.433333	0.03
1169.450000	0.06
1169.466667	0.015
1169.483333	0.015
1169.500000	0.075
1169.516667	0.01
1169.533333	0.02
1169.550000	0.06
1169.566667	0
1169.583333	0.015
1169.600000	0.06
1169.616667	0
1169.633333	0.03
1169.650000	0.01
1169.666667	0.065
1169.683333	0.01
1169.700000	0.015
1169.716667	0.01
1169.733333	0.015
1169.750000	0.01
1169.766667	0.015
1169.783333	0.06
1169.800000	0.015
1169.816667	0
1169.833333	0.075
1169.850000	0.01
1169.866667	0.015
1169.883333	0
1169.900000	0.025
1169.916667	0.065
1169.933333	0
1169.950000	0.01
1169.966667	0
1169.983333	0.065
1170.000000	0.01
1170.016667	0
1170.033333	0
1170.050000	0.025
1170.066667	0
1170.083333	0
1170.100000	0.015
1170.116667	0
1170.133333	0.05
1170.150000	0
1170.166667	0
1170.183333	0
1170.200000	0
1170.216667	0
1170.233333	0
1170.250000	0
1170.266667	0
1170.283333	0
1170.300000	0
1170.316667	0
1170.333333	0
1170.350000	0
1170.366667	0
1170.383333	0
1170.400000	0
1170.416667	0
1170.433333	0
1170.450000	0
1170.466667	0
1170.483333	0
1170.500000	0
1170.516667	0
1170.533333	0
1170.550000	0
1170.566667	0
1170.583333	0
1170.600000	0
1170.616667	0
1170.633333	0
1170.650000	0
1170.666667	0
1170.683333	0
1170.700000	0
1170.716667	0
1170.733333	0
1170.750000	0
1170.766667	0
1170.783333	0
1170.800000	0
1170.816667	0
1170.833333	0
1170.850000	0
1170.866667	0
1170.883333	0
1170.900000	0
1170.916667	0
1170.933333	0
1170.950000	0
1170.966667	0
1170.983333	0
1171.000000	0
1171.016667	0
1171.033333	0
1171.050000	0
1171.066667	0
1171.083333	0
1171.100000	0
1171.116667	0
1171.133333	0
1171.150000	0
1171.166667	0
1171.183333	0
1171.200000	0
1171.216667	0
1171.233333	0
1171.250000	0
1171.266667	0
1171.283333	0
1171.300000	0
1171.316667	0
1171.333333	0
1171.350000	0
1171.366667	0
1171.383333	0
1171.400000	0
1171.416667	0
1171.433333	0
1171.450000	0
1171.466667	0
1171.483333	0
1171.500000	0
1171.516667	0
1171.533333	0
1171.550000	0
1171.566667	0
1171.583333	0
1171.600000	0
1171.616667	0
1171.633333	0
1171.650000	0
1171.666667	0
1171.683333	0
1171.700000	0
1171.716667	0
1171.733333	0
1171.750000	0
1171.766667	0
1171.783333	0
1171.800000	0
1171.816667	0
1171.833333	0
1171.850000	0
1171.866667	0
1171.883333	0
1171.900000	0
1171.916667	0
1171.933333	0
1171.950000	0
1171.966667	0
1171.983333	0
1172.000000	0
1172.016667	0
1172.033333	0
1172.050000	0
1172.066667	0
1172.083333	0
1172.100000	0
1172.116667	0
1172.133333	0
