t	x
1153.800000	0.51
1153.866667	0.42
1153.933333	0.36
1154.000000	0.41
1154.066667	0.33
1154.133333	0.28
1154.200000	0.84
1154.266667	0.72
1154.333333	0.63
1154.400000	0.48
1154.466667	0.42
1154.533333	0.36
1154.600000	0.36
1154.666667	0.38
1154.733333	0.36
1154.800000	0.37
1154.866667	0.51
1154.933333	0.44
1155.000000	2.86
1155.066667	3.47
1155.133333	15.59
1155.200000	10.39
1155.266667	8.86
1155.333333	6.81
1155.400000	5.51
1155.466667	4.32
1155.533333	3.44
1155.600000	3.11
1155.666667	2.41
1155.733333	1.52
1155.800000	1.24
1155.866667	4.54
1155.933333	18.42
1156.000000	13.65
1156.066667	20.37
1156.133333	12.38
1156.200000	8.5
1156.266667	9.41
1156.333333	6.51
1156.400000	3.45
1156.466667	2.63
1156.533333	2.17
1156.600000	2.91
1156.666667	3.46
1156.733333	2.37
1156.800000	2.02
1156.866667	1.96
1156.933333	2.69
1157.000000	3.28
1157.066667	2.84
1157.133333	1.92
1157.200000	1.71
1157.266667	1.85
1157.333333	1.66
1157.400000	1.59
1157.466667	1.76
1157.533333	1.92
1157.600000	1.27
1157.666667	1.34
1157.733333	1.67
1157.800000	1.35
1157.866667	2.25
1157.933333	3.43
1158.000000	2.35
1158.066667	2.02
1158.133333	2.18
1158.200000	1.63
1158.266667	1.71
1158.333333	3.13
1158.400000	3.13
1158.466667	3.13
1158.533333	3.13
1158.600000	1.71
1158.666667	1.77
1158.733333	1.87
1158.800000	1.61
1158.866667	2.39
1158.933333	1.76
1159.000000	2.27
1159.066667	1.85
1159.133333	2.11
1159.200000	2.73
1159.266667	2.41
1159.333333	2.42
1159.400000	2.19
1159.466667	3.2
1159.533333	2.38
1159.600000	3.71
1159.666667	5.49
1159.733333	5.85
1159.800000	6.18
1159.866667	7.09
1159.933333	6.86
1160.000000	5.65
1160.066667	4.77
1160.133333	3.66
1160.200000	5.95
1160.266667	6.64
1160.333333	5.26
1160.400000	4.81
1160.466667	7.5
1160.533333	7.5
1160.600000	7.69
1160.666667	7.97
1160.733333	5.33
1160.800000	5.9
1160.866667	6.19
1160.933333	6.31
1161.000000	7.81
1161.066667	8.93
1161.133333	9.3
1161.200000	8.09
1161.266667	8.34
1161.333333	7.2
1161.400000	6.81
1161.466667	8.38
1161.533333	6.73
1161.600000	6.14
1161.666667	6.3
1161.733333	6.31
1161.800000	6.3
1161.866667	5.48
1161.933333	4.93
1162.000000	4.37
1162.066667	4.29
1162.133333	3.9
1162.200000	5.05
1162.266667	7.79
1162.333333	9.25
1162.400000	10.69
1162.466667	11.02
1162.533333	11.02
1162.600000	21.2
1162.666667	18.75
1162.733333	19.36
1162.800000	17.68
1162.866667	15.24
1162.933333	15.38
1163.000000	14.7
1163.066667	17.26
1163.133333	19.79
1163.200000	23.64
1163.266667	25.12
1163.333333	25.15
1163.400000	24.09
1163.466667	27.08
1163.533333	24.12
1163.600000	30.71
1163.666667	30.58
1163.733333	30.31
1163.800000	29.01
1163.866667	27.9
1163.933333	28.56
1164.000000	26.29
1164.066667	33.53
1164.133333	35.6
1164.200000	28.31
1164.266667	30.46
1164.333333	36.96
1164.400000	29.19
1164.466667	27.78
1164.533333	27.78
1164.600000	27.78
1164.666667	29.17
1164.733333	26.36
1164.800000	20.53
1164.866667	16.08
1164.933333	14.23
1165.000000	14.64
1165.066667	13.09
1165.133333	12.23
1165.200000	11.21
1165.266667	9.36
1165.333333	7.99
1165.400000	8.14
1165.466667	7.51
1165.533333	7.12
1165.600000	6.56
1165.666667	5.54
1165.733333	5.25
1165.800000	5.31
1165.866667	5.14
1165.933333	4.62
1166.000000	5.56
1166.066667	4.22
1166.133333	3.54
1166.200000	3.68
1166.266667	3.49
1166.333333	3.76
1166.400000	3.34
1166.466667	3.69
1166.533333	3.46
1166.600000	3.52
1166.666667	3.31
1166.733333	4.2
1166.800000	3.93
1166.866667	3.66
1166.933333	3.24
1167.000000	3.42
1167.066667	4.64
1167.133333	4.79
1167.200000	6.15
1167.266667	6.1
1167.333333	5.29
1167.400000	4.59
1167.466667	4.27
1167.533333	4.56
1167.600000	4.05
1167.666667	4.43
1167.733333	4.32
1167.800000	5.32
1167.866667	5.32
1167.933333	5.45
1168.000000	7.51
1168.066667	9.88
1168.133333	8.77
1168.200000	9.66
1168.266667	28.43
1168.333333	42.64
1168.400000	17.05
1168.466667	11.34
1168.533333	10.18
1168.600000	11.8
1168.666667	11.12
1168.733333	10.59
1168.800000	10.13
1168.866667	9.79
1168.933333	9.57
1169.000000	10.12
1169.066667	9.85
1169.133333	11.19
1169.200000	11.24
1169.266667	10.52
1169.333333	10.62
1169.400000	8.72
1169.466667	8.37
1169.533333	8.1
1169.600000	7.76
1169.666667	7.6
1169.733333	6.75
1169.800000	6.86
1169.866667	6.77
1169.933333	6.67
1170.000000	6.8
1170.066667	6.67
1170.133333	5.28
1170.200000	5.49
1170.266667	4.86
1170.333333	4.82
1170.400000	4.24
1170.466667	3.91
1170.533333	3.74
1170.600000	4.06
1170.666667	3.87
1170.733333	3.78
1170.800000	4.06
1170.866667	3.24
1170.933333	3.89
1171.000000	3.41
1171.066667	3.41
1171.133333	3.26
1171.200000	3.43
1171.266667	3.44
1171.333333	3
1171.400000	2.97
1171.466667	4.78
1171.533333	3.38
1171.600000	2.61
1171.666667	3.69
1171.733333	4.31
1171.800000	3.29
1171.866667	2.93
1171.933333	2.68
1172.000000	2.77
1172.066667	2.45
1172.133333	2.9
