t	x
1153.833333	0
1154.000000	0
1154.166667	0
1154.333333	0
1154.500000	0
1154.666667	0
1154.833333	0
1155.000000	0.17
1155.166667	0.28
1155.333333	0.05
1155.500000	0.03
1155.666667	0.02
1155.833333	0.01
1156.000000	0.14
1156.166667	0.04
1156.333333	0.07
1156.500000	0.02
1156.666667	0.01
1156.833333	0.01
1157.000000	0.03
1157.166667	0.02
1157.333333	0.01
1157.500000	0.01
1157.666667	0.01
1157.833333	0
1158.000000	0.01
1158.166667	0.01
1158.333333	0
1158.500000	0
1158.666667	0
1158.833333	0
1159.000000	0
1159.166667	0.01
1159.333333	0
1159.500000	0.01
1159.666667	0.02
1159.833333	0.04
1160.000000	0.05
1160.166667	0.02
1160.333333	0.04
1160.500000	0.02
1160.666667	0.06
1160.833333	0.03
1161.000000	0.04
1161.166667	0.05
1161.333333	0.02
1161.500000	0.02
1161.666667	0.03
1161.833333	0.02
1162.000000	0.02
1162.166667	0.02
1162.333333	0.04
1162.500000	0.06
1162.666667	0.09
1162.833333	0.11
1163.000000	0.08
1163.166667	0.09
1163.333333	0.12
1163.500000	0.13
1163.666667	0.17
1163.833333	0.16
1164.000000	0.17
1164.166667	0.25
1164.333333	0.25
1164.500000	0.17
1164.666667	0.14
1164.833333	0.09
1165.000000	0.03
1165.166667	0.03
1165.333333	0.03
1165.500000	0.01
1165.666667	0.01
1165.833333	0.01
1166.000000	0
1166.166667	0
1166.333333	0
1166.500000	0
1166.666667	0.02
1166.833333	0.02
1167.000000	0.06
1167.166667	0.03
1167.333333	0.02
1167.500000	0.01
1167.666667	0.03
1167.833333	0.04
1168.000000	0.04
1168.166667	0.04
1168.333333	0.08
1168.500000	0.06
1168.666667	0.05
1168.833333	0.03
1169.000000	0.04
1169.166667	0.03
1169.333333	0.04
1169.500000	0.04
1169.666667	0.03
1169.833333	0.02
1170.000000	0.02
1170.166667	0
1170.333333	0
1170.500000	0.01
1170.666667	0
1170.833333	0
1171.000000	0
1171.166667	0
1171.333333	0
1171.500000	0
1171.666667	0
1171.833333	0
1172.000000	0
