t	x
17.600000	6.24
17.666667	5.33
17.733333	5.82
17.800000	4.6
17.866667	5.78
17.933333	4.92
18.000000	5.36
18.066667	6.04
18.133333	5.4
18.200000	6.09
18.266667	5.05
18.333333	5.54
18.400000	4.86
18.466667	5.82
18.533333	4.65
18.600000	5.05
18.666667	10.36
18.733333	15.94
18.800000	38.76
18.866667	22.43
18.933333	21.03
19.000000	27.38
19.066667	22.07
19.133333	22.82
19.200000	17.39
19.266667	13.29
19.333333	11.77
19.400000	10.09
19.466667	9.93
19.533333	9.1
19.600000	12.51
19.666667	11.24
19.733333	10.01
19.800000	8.31
19.866667	8.8
19.933333	7.78
20.000000	7.21
20.066667	7.42
20.133333	7.27
20.200000	7.9
20.266667	7.28
20.333333	7.05
20.400000	6.17
20.466667	7.32
20.533333	6.33
20.600000	6.73
20.666667	7.51
20.733333	6.51
20.800000	6.1
20.866667	5.76
20.933333	5.96
21.000000	5.51
21.066667	6.28
21.133333	5.98
21.200000	6.36
21.266667	6.49
21.333333	5.97
21.400000	6.84
21.466667	6.49
21.533333	6.93
21.600000	6.16
21.666667	5.91
